r = row, c = col, h = holdingStatus, pi = pickupIndex, di = dropOffIndex
       states                       actions                 
 r, c,  h,   pi, di      north      east     south      west
(0, 2, True, 3, 13)      0.000    -0.300     0.000    -0.300
(0, 2, True, 3, 14)      0.000    -0.300    -0.300    -0.657
(0, 2, True, 3, 15)      0.000     0.000     0.000     0.715
(0, 3, False, 0, 0)      0.000    -0.832    -0.919    -1.059
(0, 3, False, 0, 1)      0.000    -0.832    -0.919    -1.059
(0, 3, False, 0, 2)      0.000    -0.832    -0.919    -1.059
(0, 3, False, 0, 3)      0.000    -0.832    -0.919    -1.059
(0, 3, False, 0, 4)      0.000    -0.832    -0.919    -1.059
(0, 3, False, 0, 5)      0.000    -0.832    -0.919    -1.059
(0, 3, False, 0, 6)      0.000    -0.832    -0.919    -1.059
(0, 3, False, 0, 7)      0.000    -0.832    -0.919    -1.059
(0, 3, False, 0, 8)      0.000    -0.832    -0.919    -1.059
(0, 3, False, 0, 9)      0.000    -0.832    -0.919    -1.059
(0, 3, False, 0, 10)     0.000    -0.832    -0.919    -1.059
(0, 3, False, 0, 11)     0.000    -0.832    -0.919    -1.059
(0, 3, False, 0, 12)     0.000    -0.832    -0.919    -1.059
(0, 3, False, 0, 13)     0.000    -0.832    -0.919    -1.059
(0, 3, False, 0, 14)     0.000    -0.832    -0.919    -1.059
(0, 3, False, 0, 15)     0.000    -0.832    -0.919    -1.059
(0, 3, False, 1, 0)      0.000    -0.832    -0.794     0.230
(0, 3, False, 1, 1)      0.000    -0.832    -0.794     0.230
(0, 3, False, 1, 2)      0.000    -0.832    -0.794     0.230
(0, 3, False, 1, 3)      0.000    -0.832    -0.794     0.230
(0, 3, False, 1, 4)      0.000    -0.832    -0.794     0.230
(0, 3, False, 1, 5)      0.000    -0.832    -0.794     0.230
(0, 3, False, 1, 6)      0.000    -0.832    -0.794     0.230
(0, 3, False, 1, 7)      0.000    -0.832    -0.794     0.230
(0, 3, False, 1, 8)      0.000    -0.832    -0.794     0.230
(0, 3, False, 1, 9)      0.000    -0.832    -0.794     0.230
(0, 3, False, 1, 10)     0.000    -0.832    -0.794     0.230
(0, 3, False, 1, 11)     0.000    -0.832    -0.794     0.230
(0, 3, False, 1, 12)     0.000    -0.832    -0.794     0.230
(0, 3, False, 1, 13)     0.000    -0.832    -0.794     0.230
(0, 3, False, 1, 14)     0.000    -0.832    -0.794     0.230
(0, 3, False, 1, 15)     0.000    -0.832    -0.794     0.230
(0, 3, False, 2, 0)      0.000    -0.657    -0.868    -0.840
(0, 3, False, 2, 1)      0.000    -0.657    -0.868    -0.840
(0, 3, False, 2, 2)      0.000    -0.657    -0.868    -0.840
(0, 3, False, 2, 3)      0.000    -0.657    -0.868    -0.840
(0, 3, False, 2, 4)      0.000    -0.657    -0.868    -0.840
(0, 3, False, 2, 5)      0.000    -0.657    -0.868    -0.840
(0, 3, False, 2, 6)      0.000    -0.657    -0.868    -0.840
